user_id,name,age,gender,region,education_level,occupation,annual_income,joint_income,business_income,property_value,loan_amount,repayment_score,fraud_flag,id_verified,document_validity,verification_date,last_transaction_date,beneficiary_count,credit_score,loan_status,timestamp
1,Pooja Murty,24,Female,Mumbai,Diploma,Teacher,3455447,3095322.0,0,31160734,20000000,665,0,Yes,Valid,2024-06-28 19:26:23,2024-07-08 01:09:09,6,693,Rejected,2023-01-01 00:00:00
2,Aarohi Patel,55,Female,Hyderabad,High School,Farmer,664482,2034183.0,906967,8524582,2396276,714,0,Yes,Expired,2024-07-20 17:01:45,2025-07-12 07:35:03,3,715,Approved,2023-01-01 00:01:00
3,Dev Kulkarni,49,Male,Ahmedabad,High School,Engineer,1817251,1666092.0,0,7643254,4595100,657,0,Yes,Pending,2021-01-22 22:29:38,2023-07-05 10:52:18,3,631,Approved,2023-01-01 00:02:00
4,Arjun Murty,40,Male,Chennai,High School,Self Employed,1783071,,196432,16058493,8811611,525,0,Yes,Pending,2023-04-28 11:10:10,2025-03-28 22:22:15,2,537,Rejected,2023-01-01 00:03:00
5,Nikhil Nair,40,Male,Delhi,PhD,Teacher,1734770,,0,10155805,7323761,609,0,Yes,Valid,2024-11-18 20:06:15,2025-03-13 21:57:05,3,635,Rejected,2023-01-01 00:04:00
6,Aditya Kapoor,58,Male,Lucknow,Bachelor,Accountant,3229183,4000000.0,0,34031439,15158057,614,0,Yes,Valid,2024-11-15 09:56:36,2024-11-21 23:00:01,6,629,Rejected,2023-01-01 00:05:00
7,Harsh Joshi,24,Male,Delhi,Diploma,Nurse,1916807,,0,9761058,4195863,675,0,Yes,Valid,2020-05-12 10:56:56,2023-05-23 02:20:28,2,686,Rejected,2023-01-01 00:06:00
8,Aarohi Nath,51,Female,Mumbai,Bachelor,Mechanic,1765380,,0,20011565,12508440,401,0,Yes,Valid,2022-03-23 18:02:50,2023-07-07 18:02:39,1,413,Rejected,2023-01-01 00:07:00
9,Dev Kulkarni,29,Male,Hyderabad,Bachelor,Civil Servant,2173636,,0,28887687,17486966,400,0,Yes,Expired,2025-10-25 21:12:48,2025-12-25 02:01:20,4,399,Rejected,2023-01-01 00:08:00
10,Kunal Singh,25,Male,Delhi,High School,Salesperson,2216099,,0,28919260,8214179,543,0,Yes,Valid,2024-11-25 21:05:27,2025-03-11 16:27:53,2,546,Approved,2023-01-01 00:09:00
11,Aarohi Nair,44,Female,Kolkata,Diploma,Civil Servant,1194556,4000000.0,0,11781319,4464159,710,0,Yes,Valid,2021-09-02 08:43:57,2025-09-04 19:18:24,6,788,Approved,2023-01-01 00:10:00
12,Dev Nair,63,Male,Chennai,Bachelor,Self Employed,3589847,4000000.0,1635263,34768912,19979528,682,0,Yes,Valid,2023-03-07 13:03:13,2025-11-07 12:24:54,6,661,Approved,2023-01-01 00:11:00
13,Harsh Kulkarni,53,Male,Lucknow,Master,Nurse,1638820,,0,14181015,6597620,546,0,Yes,Valid,2025-01-15 06:49:33,2025-10-20 04:59:48,3,607,Rejected,2023-01-01 00:12:00
14,Ishan Kapoor,54,Male,Delhi,High School,Civil Servant,2078200,626973.0,0,22412566,7650589,654,0,Yes,Valid,2025-08-25 02:42:06,2025-10-16 01:02:56,4,638,Approved,2023-01-01 00:13:00
15,Indira Chauhan,52,Female,Bangalore,Master,Nurse,4625178,,0,19551856,7750523,642,0,Yes,Valid,2024-07-27 16:29:11,2024-08-05 10:42:04,5,656,Approved,2023-01-01 00:14:00
16,Rohit Gaba,55,Male,Pune,Bachelor,Farmer,6000000,,2662723,50000000,20000000,579,0,Yes,Expired,2021-07-28 17:55:10,2024-09-20 18:08:33,6,556,Rejected,2023-01-01 00:15:00
17,Rhea Mehta,43,Female,Pune,Bachelor,Accountant,2765322,,0,21105769,9799092,570,0,Yes,Valid,2021-07-09 01:50:17,2024-01-08 12:40:13,4,575,Rejected,2023-01-01 00:16:00
18,Ishita Patel,26,Female,Hyderabad,High School,Salesperson,916038,,0,7669189,3355769,558,0,Yes,Valid,2020-08-01 23:09:50,2024-07-25 12:46:11,2,580,Approved,2023-01-01 00:17:00
19,Arjun Loyal,57,Male,Lucknow,Bachelor,Clerk,1895986,1128910.0,470796,22508228,6337681,607,0,Yes,Valid,2023-09-28 00:27:15,2024-07-28 09:37:45,3,630,Approved,2023-01-01 00:18:00
20,Sanya Sharma,40,Female,Jaipur,Bachelor,Self Employed,5159797,1466838.0,2271300,50000000,20000000,657,0,Yes,Valid,2022-01-25 22:21:29,2025-10-07 03:08:47,6,631,Rejected,2023-01-01 00:19:00
21,Aditya Nath,43,Male,Pune,High School,IT Professional,1950050,,0,30757065,10831738,425,0,Yes,Valid,2020-06-21 13:44:18,2020-11-02 08:08:11,3,446,Rejected,2023-01-01 00:20:00
22,Harsh Murty,37,Male,Ahmedabad,Master,Nurse,3318676,,0,50000000,20000000,424,0,Yes,Valid,2021-01-24 04:35:55,2021-11-15 08:49:07,4,439,Rejected,2023-01-01 00:21:00
23,Gautam Gupta,29,Male,Kolkata,Bachelor,Mechanic,3294853,1537515.0,0,39981044,19406903,500,0,Yes,Valid,2020-01-04 21:16:13,2021-08-27 19:26:01,4,593,Rejected,2023-01-01 00:22:00
24,Nisha Patel,61,Female,Chennai,High School,Business Owner,1539069,,753990,15322096,7697923,585,0,Yes,Pending,2021-06-05 11:07:44,2023-10-06 02:57:48,3,622,Rejected,2023-01-01 00:23:00
25,Rohit Joshi,55,Male,Kolkata,Diploma,Teacher,5637603,3921529.0,0,50000000,20000000,712,0,Yes,Valid,2025-05-21 10:46:36,2025-11-20 02:56:47,6,772,Approved,2023-01-01 00:24:00
26,Pranav Bose,49,Male,Jaipur,High School,Clerk,2711742,,321925,16817073,5435275,709,0,Yes,Valid,2024-03-12 22:01:07,2025-11-13 12:11:25,4,744,Approved,2023-01-01 00:25:00
27,Meera Murty,38,Female,Mumbai,Master,Civil Servant,2159409,,0,14409592,9029483,511,0,Yes,Valid,2024-10-29 02:43:44,2025-05-10 06:41:04,2,567,Rejected,2023-01-01 00:26:00
28,Vikram Verma,57,Male,Delhi,High School,Nurse,2016321,1625209.0,0,22638208,6996859,690,0,Yes,Valid,2022-12-17 17:38:15,2024-12-08 03:48:56,5,732,Approved,2023-01-01 00:27:00
